"STASLIST","LOC","STA","STA2","STATION","NAME","LHOLD","HOLDCERT","NEARTOWN","COUNTY","STATE","REGION","LATITUDE","LONGITUDE","PRECISION","SOURCE","DATUM","DECLAT","DECLNG","NAD83","ELEV","STRATUM","BCR","HABITAT","D89","D90","D91","D92","D93","D94","D95","D96","D97","D98","D99","D00","D01","D02","D03","D04","D05","D06","Y07","D07","Y08","D08","Y09","D09","Y10","D10","Y11","D11","Y12","D12","Y13","D13","Y14","D14","Y15","D15","Y16","D16","Y17","D17","Y18","D18","HISTORY","YRSOP"
"16625 - JEFF - AR07 - Area 07","JEFF",16625,"16625S","AR07","Area 07","IW","+","Nebraska","Ripley","IN","6","39 02 09","-085 26 14","01S","GPS -GPSMAP 76","NAD83",39.03583,-85.43722,"x",259,15,24,"mature/succ. upland deciduous",,,,,,"X","X","X","X","X","X","X","X","X",,"X","X","X","X","X","X","X",,,,,"X","X","X","X","X","X","X","X",,,,,,,,,"94-02,04-08,11-14",18
"16626 - CRAN - FIRS - First Creek","CRAN",16626,"16626U","FIRS","First Creek","DN","+","Burns City","Martin","IN","6","38 52 17","-086 54 09","01S","GPS -GPSMAP 76","NAD83",38.87139,-86.9025,"x",162,15,24,"mature decid. bottomland forest",,,,,,"X","X","X","X","X","X","X","X","X",,"X","X","X","X","X","X","X",,,,,"X","X","X","X","X","X","X","X",,,,,,,,,"94-02,04-08,11-14",18
"16627 - CRAN - WICE - Williams Cemetery","CRAN",16627,"16627U","WICE","Williams Cemetery","DN","+","Burns City","Martin","IN","6","38 48 35","-086 52 55","01S","GPS -GPSMAP 76","NAD83",38.80972,-86.88194,"x",219,15,24,"deciduous upland forest",,,,,,"X","X","X","X","X","X","X","X","X",,"X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"94-02,04-08",14
"16628 - CRAN - SEED - Seedtick Creek","CRAN",16628,"16628U","SEED","Seedtick Creek","DN","+","Loogootee","Martin","IN","6","38 45 35","-086 53 05","01S","GPS -GPSMAP 76","NAD83",38.75972,-86.88472,"x",149,15,24,"mature decid. bottomland forest",,,,,,"X","X","X","X","X","X","X","X","X",,"X","X","X","X","X","X","X",,,,,"X","X","X","X","X","X","X","X",,,,,,,,,"94-02,04-08,11-14",18
"16629 - CRAN - SULP - Sulphur Creek","CRAN",16629,"16629U","SULP","Sulphur Creek","DN","+","Owensburg","Martin","IN","6","38 53 07","-086 44 14","01S","GPS -GPSMAP 76","NAD83",38.88528,-86.73722,"x",177,14,24,"upland decid./oldfield/riparian",,,,,,"X","X","X","X","X","X","X","X","X",,"X","X","X","X","X","X","X",,,,,"X","X","X","X","X","X","X","X",,,,,,,,,"94-02,04-08,11-14",18
"16630 - CRAN - EABO - East Boggs","CRAN",16630,"16630U","EABO","East Boggs","DN","+","Burns City","Martin","IN","6","38 47 39","-086 50 08","01S","GPS -GPSMAP 76","NAD83",38.79417,-86.83556,"x",152,15,24,"upland decid./riparian/grassy",,,,,,"X","X","X","X","X","X","X","X","X",,"X","X","X","X","X","X","X",,,,,"X","X","X","X","X","X","X","X",,,,,,,,,"94-02,04-08,11-14",18
"16631 - CRAN - AR14 - Area 14","CRAN",16631,"16631U","AR14","Area 14","DN","+","Cale","Martin","IN","6","38 50 27","-086 47 41","01S","GPS -GPSMAP 76","NAD83",38.84083,-86.79472,"x",198,14,24,"upland decid./riparian/oldfield",,,,,,"X","X","X","X","X","X","X","X","X",,"X","X","X","X","X","X","X",,,,,"X","X","X","X","X","X","X","X",,,,,,,,,"94-02,04-08,11-14",18
"16632 - KNOX - OHRI - Ohio River","KNOX",16632,"16632U","OHRI","Ohio River","DA","+","Muldraugh","Meade","KY","6","37 58 38","-086 01 43","01S","-","-",37.97722,-86.02861,"-",131,14,24,"bottomland deciduous forest",,,,,,"X","X","X","X","X","X","X","X","X",,"X","X","X",,,,,,,,,,,,,,,,,,,,,,,,,"94-02,04-06",12
"16633 - KNOX - MCSP - McCracken Springs","KNOX",16633,"16633U","MCSP","McCracken Springs","DA","+","Muldraugh","Meade","KY","6","37 53 30","-086 01 44","01S","GPS -GPSMAP 76","NAD83",37.89167,-86.02889,"x",171,14,24,"mature upland deciduous forest",,,,,,"X","X","X","X","X","X","X","X","X",,"X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"94-02,04-08",14
"16634 - KNOX - CEDA - Cedar Creek","KNOX",16634,"16634U","CEDA","Cedar Creek","DA","+","Radcliff","Hardin","KY","6","37 48 43","-085 49 46","01S","GPS -GPSMAP 76","NAD83",37.81194,-85.82944,"x",151,14,24,"riparian deciduous woods",,,,,,"X","X","X","X","X","X","X","X","X",,"X","X","X","X","X","X","X",,,,,,,,,,,,,,,,,,,,,"94-02,04-08",14
